,_id,Name,Sell,Shadow,Total Catches to Unlock,Spawn Rates,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename
0,17.0,abalone,2000.0,Medium,20.0,1–6,1x1,Yes,"My feathers, but the abalone is a most deceptive sea snail, wot wot! After seeing its dull brown shell from the outside, one would think it quite plain.But take a gander inside, and you'll see that the abalone's home is a shimmering beauty to behold! The inner layer of the shell is made of ""nacre,"" or ""mother-of-pearl,"" and, hoo, what a dazzling iridescent hue! Let this be a lesson! You mustn't judge a sea snail by the outside of its shell. Judge it by the inside of its shell instead.",I got an abalone! Why do I want a sandwich now?,0.0,Pet,None,None,Fluorescent,Awabi
1,28.0,acorn barnacle,600.0,X-Small,0.0,6–11,1x1,Yes,"Do not mistake the acorn barnacle for a relative of the calm. Tut-tut, mollusks they are not. Barnacles are cousins to crabs and lobsters, you see. Though the family resemblance is hard to spot. Acorn barnacles may also seem to live a stationary life, what with being attached to rocks and such. But truth be told, baby barnacles are avid travelers, drifting shell-less about the sea before settling down. Once they find a good rock to affix themselves to, they float free no more. Which begs the question... Do adult acorn barnacles ever look out across the open sea...and long for youthful adventure once more?",I got an acorn barnacle! Will it grow into an oak barnacle?,0.0,Pet,None,None,Fluorescent,Fujitsubo
2,19.0,chambered nautilus,1800.0,Medium,20.0,3–5,1x1,Yes,"The chambered nautilus is perhaps best known for its gorgeous shell. Not only does this shell's interior shine with a pearly luster, it features a near-perfect natural spiral. But those aren't the chambered nautilus's only bragging rights. This cephalopod can have up to 90 tentacles, it's said! These arms come coated with a sticky substance that helps the nautilus capture its prey...Which is far better than using them for overly long hugs, I say.",I got a chambered nautilus! Is it on the naughty list?,0.0,Pet,None,None,Fluorescent,Oumugai
3,25.0,Dungeness crab,1900.0,Medium,20.0,3–5,1x1,Yes,"The Dungeness crab wears a pretty fan-shaped shell that's often done up in purple hues. But eye-catching colors aside, this fellow can be surprisingly hard to spot! That's because the Dungeness crab is something of an expert hider. When scared, it plays a nifty trick! That is, it buries itself beneath the sand with impressive speed. ""Now you see me, now you don't,"" it says as it vanishes before your very eyes!",I got a Dungeness crab! Dun dun duuuun...geness.,0.0,Pet,None,None,Fluorescent,DungenessCrab
4,23.0,firefly squid,1400.0,X-Small,0.0,6,1x1,Yes,"The firefly squid is a wee migratory squid that barely reaches three inches in length. And though they usually live in deep water, they do venture to the coast to spawn. Like their firefly namesakes, these sparkling squid emit a blue bioluminescent glow. This glow may be used to threaten enemies, communicate with friends, or, perhaps, to lure food in. Truth be told, we do not know for sure why the firefly squid glows. We remain in the dark, as they say.",I got a firefly squid! More like a glowswim squid.,0.0,Pet,None,None,Fluorescent,Hotaruika
5,39.0,flatworm,700.0,X-Small,0.0,5–8,1x1,No,"Flatworms are flat creatures, and while some types look like sea slugs, they have little else in common. Some types are venomous and produce a poison similar to the kind blowfish are famous for. Flatworms are hermaphrodites and mate by fighting to determine the loser, who then bears the eggs.",I got a flatworm! Guess it forgot its spareworm.,0.0,Pet,None,None,Fluorescent,Hiramushi
6,24.0,gazami crab,2200.0,Medium,20.0,2–5,1x1,Yes,"The gazami crab may be better known by its more descriptive name… the Japanese blue crab. It gets its name from the blue tint sometimes found in its shell and legs. Its paddle-like rear legs are what help it to swim freely and quickly through the water. Of course, this gazami crab couldn't swim enough to get away from you!",I got a gazami crab! What a gripping find!,0.0,Pet,None,None,Fluorescent,Gazami
7,35.0,giant isopod,12000.0,Medium,80.0,1,1x1,No,"Growing up to nearly 20 inches, the sea-dwelling giant isopod is the world's largest cousin of the pill bug. Twenty inches?! Twenty times as revolting, I say! Making matters worse for those of us who find the pill bug repulsive rather than ""cute""... The giant isopod can swim shockingly fast and is known for its voracious appetite. In fact, it's most happy when dining on the carcasses of animals that have sunk to the bottom of the sea! This behavior has earned it a nickname... 'the vacuum cleaner of the deep.' Why must nature play such awful pranks on me?",GAAAAH! I got a giant isopod! It's the crustodian of the sea.,0.0,Pet,None,None,No lighting,Daiougusokumushi
8,18.0,gigas giant clam,15000.0,X-Large,80.0,1,2x1,Yes,"Gigas giant clams live in warm-water coral reefs and are the biggest bivalves in the world. Growing as wide as six feet and weighing up to 600 pounds, these clams can live to be 100 years old. And yes, these mighty creatures look as though they could eat a swimmer whole. But they eat plankton instead and get valuable nutrients from an algae they live in symbiosis with. Indeed, these enormous gents get all the sustenance they need by lying face up with their shells half-open. If such was my life, I'd be happy as a clam too.",I got a gigas giant clam! It's kind of a big deal.,0.0,Pet,None,None,Fluorescent,Shakogai
9,36.0,horseshoe crab,2500.0,Medium,20.0,3–5,1x1,No,"Some might say it's good luck to catch a horseshoe crab. But I am NOT among them, eh wot! Though called a ""crab,"" this beast is an arthropod and thus more akin to spiders and scorpions! Its long tail resembles a scorpion stinger, in fact! Though it's quite harmless, they say. A ""living fossil,"" the horseshoe crab has been around since before the dinosaurs. With that tank-like shell, I suppose it WOULD be the one to survive. But here's what truly rattles me to my beak... During breeding season, horseshoe crabs crawl up on the beach and make nests together in the hundreds. HUNDREDS OF HORSESHOE CRABS! And with that I can say no more.",I got a horseshoe crab! I hope it's lucky!,0.0,Pet,None,None,No lighting,Kabutogani
10,34.0,lobster,4500.0,Large,40.0,1–2,1x1,Yes,"The lobster is rather famous for its two large claws. But did you know that, in fact, it has six claws total? Of course, the four tiny claws aren't as threatening as its large ""crusher claw"" is. That pincer can put a hundred pounds of pressure on in a pinch! Just a little something to bear in mind when a lobster tries to shake your hand.",I got a lobster! Lobjective complete.,0.0,Pet,None,None,Fluorescent,Fish54
