,Name,Species,Gender,Personality,Subtype,Hobby,Birthday,Style 1,Style 2,Color 1,Color 2,Type
0,Admiral,Bird,Male,Cranky,A,Nature,1900-01-27,Cool,Cool,Black,Blue,Bird
1,Agent S,Squirrel,Female,Peppy,B,Fitness,1900-07-02,Active,Simple,Blue,Black,Mammal
2,Agnes,Pig,Female,Big Sister,A,Play,1900-04-21,Simple,Elegant,Pink,White,Mammal
3,Al,Gorilla,Male,Lazy,B,Fitness,1900-10-18,Active,Active,Red,White,Mammal
4,Alfonso,Alligator,Male,Lazy,B,Play,1900-06-09,Simple,Simple,Red,Blue,Amphibian
5,Alice,Koala,Female,Normal,B,Education,1900-08-19,Cute,Cute,Red,Pink,Mammal
6,Alli,Alligator,Female,Snooty,B,Fashion,1900-11-08,Gorgeous,Elegant,Yellow,Brown,Amphibian
7,Amelia,Eagle,Female,Snooty,B,Music,1900-11-19,Cool,Elegant,Black,White,Bird
8,Anabelle,Anteater,Female,Peppy,B,Fashion,1900-02-16,Cute,Simple,Green,Blue,Mammal
9,Anchovy,Bird,Male,Lazy,B,Play,1900-03-04,Simple,Simple,Colorful,Orange,Bird
10,Angus,Bull,Male,Cranky,B,Fitness,1900-04-30,Cool,Cool,Red,Black,Mammal
11,Anicotti,Mouse,Female,Peppy,B,Fashion,1900-02-24,Simple,Elegant,Red,Pink,Mammal
12,Ankha,Cat,Female,Snooty,B,Nature,1900-09-22,Gorgeous,Simple,Colorful,Brown,Mammal
13,Annalisa,Anteater,Female,Normal,A,Nature,1900-02-06,Elegant,Gorgeous,Red,Pink,Mammal
14,Annalise,Horse,Female,Snooty,B,Fashion,1900-12-02,Elegant,Active,Blue,Purple,Mammal
15,Antonio,Anteater,Male,Jock,B,Fitness,1900-10-20,Simple,Simple,Light blue,Blue,Mammal
16,Apollo,Eagle,Male,Cranky,B,Music,1900-07-04,Cool,Simple,Black,Black,Bird
17,Apple,Hamster,Female,Peppy,A,Play,1900-09-24,Cute,Simple,Colorful,Red,Mammal
18,Astrid,Kangaroo,Female,Snooty,B,Music,1900-09-08,Cool,Active,Black,Colorful,Mammal
19,Audie,Wolf,Female,Peppy,A,Fitness,1900-08-31,Cute,Active,Green,White,Mammal
20,Aurora,Penguin,Female,Normal,B,Education,1900-01-27,Cute,Elegant,Pink,Red,Bird
21,Ava,Chicken,Female,Normal,B,Music,1900-04-28,Elegant,Cute,Red,Gray,Bird
22,Avery,Eagle,Male,Cranky,B,Music,1900-02-22,Simple,Gorgeous,Orange,Brown,Bird
23,Axel,Elephant,Male,Jock,B,Fitness,1900-03-23,Active,Simple,Green,White,Mammal
24,Baabara,Sheep,Female,Snooty,B,Fashion,1900-03-28,Gorgeous,Elegant,Purple,Blue,Mammal
25,Bam,Deer,Male,Jock,A,Play,1900-11-07,Active,Simple,Green,Brown,Mammal
26,Bangle,Tiger,Female,Peppy,B,Fashion,1900-08-27,Gorgeous,Cute,Yellow,Green,Mammal
27,Barold,Cub,Male,Lazy,A,Play,1900-03-02,Simple,Cool,Yellow,Black,Mammal
28,Bea,Dog,Female,Normal,A,Nature,1900-10-15,Simple,Cool,Light blue,Green,Mammal
29,Beardo,Bear,Male,Smug,A,Education,1900-09-27,Elegant,Elegant,Brown,Blue,Mammal
30,Beau,Deer,Male,Lazy,A,Nature,1900-04-05,Simple,Cute,Beige,Orange,Mammal
31,Becky,Chicken,Female,Snooty,B,Music,1900-12-09,Gorgeous,Elegant,Purple,Pink,Bird
32,Bella,Mouse,Female,Peppy,B,Music,1900-12-28,Cool,Active,Black,Purple,Mammal
33,Benedict,Chicken,Male,Lazy,B,Play,1900-10-10,Simple,Simple,Blue,Purple,Bird
34,Benjamin,Dog,Male,Lazy,A,Nature,1900-08-03,Simple,Simple,Red,White,Mammal
35,Bertha,Hippo,Female,Normal,B,Education,1900-04-25,Cute,Elegant,Pink,White,Mammal
36,Bettina,Mouse,Female,Normal,B,Education,1900-06-12,Simple,Elegant,White,Red,Mammal
37,Bianca,Tiger,Female,Peppy,A,Play,1900-12-13,Cute,Cute,Pink,Orange,Mammal
38,Biff,Hippo,Male,Jock,B,Fitness,1900-03-29,Gorgeous,Active,Black,Blue,Mammal
39,Big Top,Elephant,Male,Lazy,B,Play,1900-10-03,Simple,Active,Green,Green,Mammal
40,Bill,Duck,Male,Jock,A,Play,1900-02-01,Active,Active,Blue,Purple,Bird
41,Billy,Goat,Male,Jock,A,Play,1900-03-25,Simple,Active,Blue,Purple,Mammal
42,Biskit,Dog,Male,Lazy,B,Play,1900-05-13,Gorgeous,Simple,Purple,Colorful,Mammal
43,Bitty,Hippo,Female,Snooty,A,Education,1900-10-06,Cute,Elegant,Pink,Orange,Mammal
44,Blaire,Squirrel,Female,Snooty,B,Fashion,1900-07-03,Gorgeous,Elegant,Orange,Brown,Mammal
45,Blanche,Ostrich,Female,Snooty,A,Nature,1900-12-21,Elegant,Gorgeous,Black,Brown,Bird
46,Bluebear,Cub,Female,Peppy,B,Fashion,1900-06-24,Cute,Simple,White,Blue,Mammal
47,Bob,Cat,Male,Lazy,B,Play,1900-01-01,Simple,Cute,Colorful,Red,Mammal
48,Bonbon,Rabbit,Female,Peppy,A,Play,1900-03-03,Cute,Elegant,Light blue,Yellow,Mammal
49,Bones,Dog,Male,Lazy,B,Play,1900-08-04,Simple,Cute,Beige,Brown,Mammal
50,Boomer,Penguin,Male,Lazy,B,Fitness,1900-02-07,Simple,Cool,Brown,Beige,Bird
51,Boone,Gorilla,Male,Jock,B,Fitness,1900-09-12,Elegant,Cool,Colorful,Red,Mammal
52,Boots,Alligator,Male,Jock,A,Play,1900-08-07,Gorgeous,Active,Colorful,Purple,Amphibian
53,Boris,Pig,Male,Cranky,A,Nature,1900-11-06,Cool,Gorgeous,Purple,Black,Mammal
54,Boyd,Gorilla,Male,Cranky,A,Fitness,1900-10-01,Simple,Cool,Red,Black,Mammal
55,Bree,Mouse,Female,Snooty,B,Fashion,1900-07-07,Elegant,Gorgeous,Black,Blue,Mammal
56,Broccolo,Mouse,Male,Lazy,B,Play,1900-06-30,Simple,Cute,Colorful,Yellow,Mammal
57,Broffina,Chicken,Female,Snooty,A,Music,1900-10-24,Gorgeous,Elegant,Black,Red,Bird
58,Bruce,Deer,Male,Cranky,A,Nature,1900-05-26,Cool,Simple,Black,Red,Mammal
59,Bubbles,Hippo,Female,Peppy,B,Fashion,1900-09-18,Active,Cute,Purple,Pink,Mammal
60,Buck,Horse,Male,Jock,B,Fitness,1900-04-04,Active,Simple,Gray,Brown,Mammal
61,Bud,Lion,Male,Jock,B,Fitness,1900-08-08,Active,Simple,Green,Yellow,Mammal
62,Bunnie,Rabbit,Female,Peppy,B,Fashion,1900-05-09,Cute,Cute,Green,Pink,Mammal
63,Butch,Dog,Male,Cranky,B,Music,1900-11-01,Cool,Simple,Blue,Gray,Mammal
64,Buzz,Eagle,Male,Cranky,A,Nature,1900-12-07,Simple,Active,Yellow,Red,Bird
65,Cally,Squirrel,Female,Normal,B,Nature,1900-09-04,Cute,Elegant,Red,Green,Mammal
